,all_buy_prices,all_sell_prices
0,0.05087,0.05087
1,0.05087,0.05087
2,0.05087,0.05087
3,0.05087,0.05087
4,0.04819,0.04819
5,0.04819,0.04819
6,0.04819,0.04819
