Time,pv
2011-06-01 00:00:00,0.0
2011-06-01 01:00:00,0.0
2011-06-01 02:00:00,0.0
2011-06-01 03:00:00,0.0
2011-06-01 04:00:00,0.0
2011-06-01 05:00:00,0.14198727
2011-06-01 06:00:00,0.66697516
2011-06-01 07:00:00,0.9328347
2011-06-01 08:00:00,1.5423029
2011-06-01 09:00:00,2.1294663000000003
2011-06-01 10:00:00,3.4609463
2011-06-01 11:00:00,4.196832000000001
2011-06-01 12:00:00,4.2267637
2011-06-01 13:00:00,4.2313496
2011-06-01 14:00:00,3.8214384
2011-06-01 15:00:00,3.2290746
2011-06-01 16:00:00,2.410251
2011-06-01 17:00:00,1.3244571
2011-06-01 18:00:00,0.30007475
2011-06-01 19:00:00,0.13625245
2011-06-01 20:00:00,0.0
2011-06-01 21:00:00,0.0
2011-06-01 22:00:00,0.0
2011-06-01 23:00:00,0.0
2011-06-02 00:00:00,0.0
2011-06-02 01:00:00,0.0
2011-06-02 02:00:00,0.0
2011-06-02 03:00:00,0.0
2011-06-02 04:00:00,0.0
2011-06-02 05:00:00,0.13517647
2011-06-02 06:00:00,0.76114346
2011-06-02 07:00:00,1.721458
2011-06-02 08:00:00,2.6994613
2011-06-02 09:00:00,3.5136691
2011-06-02 10:00:00,4.104209999999999
2011-06-02 11:00:00,4.4455105
2011-06-02 12:00:00,4.525021
2011-06-02 13:00:00,4.3654297
2011-06-02 14:00:00,3.9460743
2011-06-02 15:00:00,3.2806755
2011-06-02 16:00:00,2.3810111000000003
2011-06-02 17:00:00,1.315141
2011-06-02 18:00:00,0.28888744
2011-06-02 19:00:00,0.1359415299999999
2011-06-02 20:00:00,0.0
2011-06-02 21:00:00,0.0
2011-06-02 22:00:00,0.0
2011-06-02 23:00:00,0.0
2011-06-03 00:00:00,0.0
2011-06-03 01:00:00,0.0
2011-06-03 02:00:00,0.0
2011-06-03 03:00:00,0.0
2011-06-03 04:00:00,0.0
2011-06-03 05:00:00,0.1336879799999999
2011-06-03 06:00:00,0.7387764
2011-06-03 07:00:00,1.6463576
2011-06-03 08:00:00,2.5604127
2011-06-03 09:00:00,3.3130178
2011-06-03 10:00:00,3.8307016
2011-06-03 11:00:00,4.121992
2011-06-03 12:00:00,4.209145400000001
2011-06-03 13:00:00,4.0862197
2011-06-03 14:00:00,3.7091463
2011-06-03 15:00:00,3.1177374
2011-06-03 16:00:00,2.2777177
2011-06-03 17:00:00,1.2197768
2011-06-03 18:00:00,0.3025705999999999
2011-06-03 19:00:00,0.13330279
2011-06-03 20:00:00,0.0
2011-06-03 21:00:00,0.0
2011-06-03 22:00:00,0.0
2011-06-03 23:00:00,0.0
2011-06-04 00:00:00,0.0
2011-06-04 01:00:00,0.0
2011-06-04 02:00:00,0.0
2011-06-04 03:00:00,0.0
2011-06-04 04:00:00,0.0
2011-06-04 05:00:00,0.13526378
2011-06-04 06:00:00,0.70298446
2011-06-04 07:00:00,1.5919412
2011-06-04 08:00:00,2.4884532
2011-06-04 09:00:00,3.2238145
2011-06-04 10:00:00,3.7977723
2011-06-04 11:00:00,3.975831
2011-06-04 12:00:00,3.4610913
2011-06-04 13:00:00,3.7741659
2011-06-04 14:00:00,3.157436
2011-06-04 15:00:00,2.6909702
2011-06-04 16:00:00,1.6528665
2011-06-04 17:00:00,0.5902577
2011-06-04 18:00:00,0.23170654
2011-06-04 19:00:00,0.12812045
2011-06-04 20:00:00,0.0
2011-06-04 21:00:00,0.0
2011-06-04 22:00:00,0.0
2011-06-04 23:00:00,0.0
2011-06-05 00:00:00,0.0
2011-06-05 01:00:00,0.0
2011-06-05 02:00:00,0.0
2011-06-05 03:00:00,0.0
2011-06-05 04:00:00,0.0
2011-06-05 05:00:00,0.15121949
2011-06-05 06:00:00,0.6071714500000001
2011-06-05 07:00:00,1.4276861
2011-06-05 08:00:00,2.052689
2011-06-05 09:00:00,2.9853564
2011-06-05 10:00:00,3.1866704
2011-06-05 11:00:00,3.310371
2011-06-05 12:00:00,3.2414102
2011-06-05 13:00:00,3.5721387
2011-06-05 14:00:00,2.9847084
2011-06-05 15:00:00,1.6783447
2011-06-05 16:00:00,1.1478445
2011-06-05 17:00:00,0.86862524
2011-06-05 18:00:00,0.44995028
2011-06-05 19:00:00,0.1302757699999999
2011-06-05 20:00:00,0.0
2011-06-05 21:00:00,0.0
2011-06-05 22:00:00,0.0
2011-06-05 23:00:00,0.0
2011-06-06 00:00:00,0.0
2011-06-06 01:00:00,0.0
2011-06-06 02:00:00,0.0
2011-06-06 03:00:00,0.0
2011-06-06 04:00:00,0.0
2011-06-06 05:00:00,0.13318742
2011-06-06 06:00:00,0.60825364
2011-06-06 07:00:00,1.4404770999999998
2011-06-06 08:00:00,2.330558
2011-06-06 09:00:00,2.7611607
2011-06-06 10:00:00,3.5794878
2011-06-06 11:00:00,3.3114532
2011-06-06 12:00:00,3.682479
2011-06-06 13:00:00,2.4292925000000003
2011-06-06 14:00:00,2.7006704000000004
2011-06-06 15:00:00,1.6278143
2011-06-06 16:00:00,1.5178267
2011-06-06 17:00:00,1.2965243
2011-06-06 18:00:00,0.4399687799999999
2011-06-06 19:00:00,0.1216998599999999
2011-06-06 20:00:00,0.0
2011-06-06 21:00:00,0.0
2011-06-06 22:00:00,0.0
2011-06-06 23:00:00,0.0
2011-06-07 00:00:00,0.0
2011-06-07 01:00:00,0.0
2011-06-07 02:00:00,0.0
2011-06-07 03:00:00,0.0
2011-06-07 04:00:00,0.0
2011-06-07 05:00:00,0.037904083
2011-06-07 06:00:00,0.2017808
2011-06-07 07:00:00,0.5891055
2011-06-07 08:00:00,1.1153427
2011-06-07 09:00:00,1.3483614000000002
2011-06-07 10:00:00,1.7134622000000002
2011-06-07 11:00:00,1.987261
2011-06-07 12:00:00,2.1169204
2011-06-07 13:00:00,1.8494576
2011-06-07 14:00:00,2.0619843
2011-06-07 15:00:00,2.162617
2011-06-07 16:00:00,1.5552248
2011-06-07 17:00:00,1.0247049
2011-06-07 18:00:00,0.32512224
2011-06-07 19:00:00,0.17621588
2011-06-07 20:00:00,0.0
2011-06-07 21:00:00,0.0
2011-06-07 22:00:00,0.0
2011-06-07 23:00:00,0.0
2011-06-08 00:00:00,0.0
2011-06-08 01:00:00,0.0
2011-06-08 02:00:00,0.0
2011-06-08 03:00:00,0.0
2011-06-08 04:00:00,0.0
2011-06-08 05:00:00,0.021432183
2011-06-08 06:00:00,0.042017295
2011-06-08 07:00:00,0.18380156
2011-06-08 08:00:00,0.4975748
2011-06-08 09:00:00,0.6335424
2011-06-08 10:00:00,1.0160739
2011-06-08 11:00:00,2.2369076
2011-06-08 12:00:00,3.8313363
2011-06-08 13:00:00,3.6322156
2011-06-08 14:00:00,3.2284206
2011-06-08 15:00:00,2.7172565
2011-06-08 16:00:00,1.8483986
2011-06-08 17:00:00,1.1376586
2011-06-08 18:00:00,0.4289493
2011-06-08 19:00:00,0.09878858
2011-06-08 20:00:00,0.0
2011-06-08 21:00:00,0.0
2011-06-08 22:00:00,0.0
2011-06-08 23:00:00,0.0
2011-06-09 00:00:00,0.0
2011-06-09 01:00:00,0.0
2011-06-09 02:00:00,0.0
2011-06-09 03:00:00,0.0
2011-06-09 04:00:00,0.0006353029699999
2011-06-09 05:00:00,0.14956032
2011-06-09 06:00:00,0.7249642
2011-06-09 07:00:00,1.6437779
2011-06-09 08:00:00,2.4610835
2011-06-09 09:00:00,3.0583946
2011-06-09 10:00:00,3.3009567
2011-06-09 11:00:00,3.4998206
2011-06-09 12:00:00,3.0619833
2011-06-09 13:00:00,2.8596045
2011-06-09 14:00:00,2.3042965
2011-06-09 15:00:00,1.9080378
2011-06-09 16:00:00,0.9884554
2011-06-09 17:00:00,0.6610792999999999
2011-06-09 18:00:00,0.23516077
2011-06-09 19:00:00,0.12615934
2011-06-09 20:00:00,0.0
2011-06-09 21:00:00,0.0
2011-06-09 22:00:00,0.0
2011-06-09 23:00:00,0.0
2011-06-10 00:00:00,0.0
2011-06-10 01:00:00,0.0
2011-06-10 02:00:00,0.0
2011-06-10 03:00:00,0.0
2011-06-10 04:00:00,0.00072151846
2011-06-10 05:00:00,0.1522184
2011-06-10 06:00:00,0.58295927
2011-06-10 07:00:00,1.3984072
2011-06-10 08:00:00,2.4067538
2011-06-10 09:00:00,2.9144923
2011-06-10 10:00:00,3.3795862
2011-06-10 11:00:00,2.7050178
2011-06-10 12:00:00,2.9259378
2011-06-10 13:00:00,3.0997423
2011-06-10 14:00:00,2.73125
2011-06-10 15:00:00,2.755699
2011-06-10 16:00:00,2.1249424
2011-06-10 17:00:00,1.0123707000000002
2011-06-10 18:00:00,0.26106153
2011-06-10 19:00:00,0.14164796
2011-06-10 20:00:00,0.0
2011-06-10 21:00:00,0.0
2011-06-10 22:00:00,0.0
2011-06-10 23:00:00,0.0
2011-06-11 00:00:00,0.0
2011-06-11 01:00:00,0.0
2011-06-11 02:00:00,0.0
2011-06-11 03:00:00,0.0
2011-06-11 04:00:00,0.0019942754
2011-06-11 05:00:00,0.1595427
2011-06-11 06:00:00,0.77001855
2011-06-11 07:00:00,1.6868935
2011-06-11 08:00:00,2.601059
2011-06-11 09:00:00,3.248096
2011-06-11 10:00:00,4.011499
2011-06-11 11:00:00,4.161084
2011-06-11 12:00:00,4.0150797
2011-06-11 13:00:00,3.8681456
2011-06-11 14:00:00,3.1325629
2011-06-11 15:00:00,2.4966097
2011-06-11 16:00:00,1.6410382
2011-06-11 17:00:00,0.9701937
2011-06-11 18:00:00,0.28783458
2011-06-11 19:00:00,0.14289648
2011-06-11 20:00:00,0.0
2011-06-11 21:00:00,0.0
2011-06-11 22:00:00,0.0
2011-06-11 23:00:00,0.0
2011-06-12 00:00:00,0.0
