Time,pv
2011-06-01 00:00:00,0.0
2011-06-01 01:00:00,0.0
2011-06-01 02:00:00,0.0
2011-06-01 03:00:00,0.0
2011-06-01 04:00:00,0.0
2011-06-01 05:00:00,0.14075646
2011-06-01 06:00:00,0.6093978299999999
2011-06-01 07:00:00,0.94395876
2011-06-01 08:00:00,1.7344719000000002
2011-06-01 09:00:00,2.2318421
2011-06-01 10:00:00,3.3279287
2011-06-01 11:00:00,4.0717726
2011-06-01 12:00:00,4.2909943
2011-06-01 13:00:00,4.3188883
2011-06-01 14:00:00,3.8455809
2011-06-01 15:00:00,3.2858725
2011-06-01 16:00:00,2.4465143
2011-06-01 17:00:00,1.3322243
2011-06-01 18:00:00,0.3049057
2011-06-01 19:00:00,0.13307834
2011-06-01 20:00:00,0.0
2011-06-01 21:00:00,0.0
2011-06-01 22:00:00,0.0
2011-06-01 23:00:00,0.0
2011-06-02 00:00:00,0.0
2011-06-02 01:00:00,0.0
2011-06-02 02:00:00,0.0
2011-06-02 03:00:00,0.0
2011-06-02 04:00:00,0.0
2011-06-02 05:00:00,0.12951883
2011-06-02 06:00:00,0.7476109
2011-06-02 07:00:00,1.7082797
2011-06-02 08:00:00,2.6959258
2011-06-02 09:00:00,3.5174352
2011-06-02 10:00:00,4.1152863
2011-06-02 11:00:00,4.459179
2011-06-02 12:00:00,4.539739
2011-06-02 13:00:00,4.3760273
2011-06-02 14:00:00,3.9526285
2011-06-02 15:00:00,3.2811943
2011-06-02 16:00:00,2.375239
2011-06-02 17:00:00,1.3034365
2011-06-02 18:00:00,0.28228702
2011-06-02 19:00:00,0.1308243499999999
2011-06-02 20:00:00,0.0
2011-06-02 21:00:00,0.0
2011-06-02 22:00:00,0.0
2011-06-02 23:00:00,0.0
2011-06-03 00:00:00,0.0
2011-06-03 01:00:00,0.0
2011-06-03 02:00:00,0.0
2011-06-03 03:00:00,0.0
2011-06-03 04:00:00,0.0
2011-06-03 05:00:00,0.12930232
2011-06-03 06:00:00,0.72725595
2011-06-03 07:00:00,1.6347984
2011-06-03 08:00:00,2.541407
2011-06-03 09:00:00,3.24432
2011-06-03 10:00:00,3.6873901
2011-06-03 11:00:00,3.92857
2011-06-03 12:00:00,4.0944046
2011-06-03 13:00:00,4.109577
2011-06-03 14:00:00,3.7586237
2011-06-03 15:00:00,3.1565616000000003
2011-06-03 16:00:00,2.3183948
2011-06-03 17:00:00,1.1612107
2011-06-03 18:00:00,0.33945934
2011-06-03 19:00:00,0.12132814
2011-06-03 20:00:00,0.0
2011-06-03 21:00:00,0.0
2011-06-03 22:00:00,0.0
2011-06-03 23:00:00,0.0
2011-06-04 00:00:00,0.0
2011-06-04 01:00:00,0.0
2011-06-04 02:00:00,0.0
2011-06-04 03:00:00,0.0
2011-06-04 04:00:00,0.0
2011-06-04 05:00:00,0.12873788
2011-06-04 06:00:00,0.6980733
2011-06-04 07:00:00,1.588121
2011-06-04 08:00:00,2.4916504
2011-06-04 09:00:00,3.1892583
2011-06-04 10:00:00,3.8146726
2011-06-04 11:00:00,3.834379
2011-06-04 12:00:00,3.3882207
2011-06-04 13:00:00,3.762943
2011-06-04 14:00:00,3.296271
2011-06-04 15:00:00,2.2527862
2011-06-04 16:00:00,1.2748695
2011-06-04 17:00:00,0.5651865
2011-06-04 18:00:00,0.28703318
2011-06-04 19:00:00,0.12362358
2011-06-04 20:00:00,0.0
2011-06-04 21:00:00,0.0
2011-06-04 22:00:00,0.0
2011-06-04 23:00:00,0.0
2011-06-05 00:00:00,0.0
2011-06-05 01:00:00,0.0
2011-06-05 02:00:00,0.0
2011-06-05 03:00:00,0.0
2011-06-05 04:00:00,0.0
2011-06-05 05:00:00,0.13329054
2011-06-05 06:00:00,0.6218165999999999
2011-06-05 07:00:00,1.4767268
2011-06-05 08:00:00,2.099962
2011-06-05 09:00:00,2.7549015
2011-06-05 10:00:00,2.9765891
2011-06-05 11:00:00,3.2522744
2011-06-05 12:00:00,3.2187619
2011-06-05 13:00:00,3.4337041
2011-06-05 14:00:00,3.0048052
2011-06-05 15:00:00,1.9852524
2011-06-05 16:00:00,1.3586093
2011-06-05 17:00:00,0.88530616
2011-06-05 18:00:00,0.40784728
2011-06-05 19:00:00,0.11053569
2011-06-05 20:00:00,0.0
2011-06-05 21:00:00,0.0
2011-06-05 22:00:00,0.0
2011-06-05 23:00:00,0.0
2011-06-06 00:00:00,0.0
2011-06-06 01:00:00,0.0
2011-06-06 02:00:00,0.0
2011-06-06 03:00:00,0.0
2011-06-06 04:00:00,0.0
2011-06-06 05:00:00,0.1289455699999999
2011-06-06 06:00:00,0.6373038000000001
2011-06-06 07:00:00,1.460344
2011-06-06 08:00:00,2.2795587
2011-06-06 09:00:00,2.8327021
2011-06-06 10:00:00,3.5325312
2011-06-06 11:00:00,3.177763
2011-06-06 12:00:00,3.7598195
2011-06-06 13:00:00,2.4974276
2011-06-06 14:00:00,2.4529365
2011-06-06 15:00:00,1.6577642
2011-06-06 16:00:00,1.5817647
2011-06-06 17:00:00,1.313341
2011-06-06 18:00:00,0.4361688999999999
2011-06-06 19:00:00,0.11416673
2011-06-06 20:00:00,0.0
2011-06-06 21:00:00,0.0
2011-06-06 22:00:00,0.0
2011-06-06 23:00:00,0.0
2011-06-07 00:00:00,0.0
2011-06-07 01:00:00,0.0
2011-06-07 02:00:00,0.0
2011-06-07 03:00:00,0.0
2011-06-07 04:00:00,0.0
2011-06-07 05:00:00,0.05512879
2011-06-07 06:00:00,0.25026
2011-06-07 07:00:00,0.7125461000000001
2011-06-07 08:00:00,1.2555283
2011-06-07 09:00:00,1.4821192
2011-06-07 10:00:00,1.8965736
2011-06-07 11:00:00,2.391794
2011-06-07 12:00:00,2.44224
2011-06-07 13:00:00,2.1102552
2011-06-07 14:00:00,2.4856655
2011-06-07 15:00:00,2.2030887
2011-06-07 16:00:00,1.4337929
2011-06-07 17:00:00,0.9795746
2011-06-07 18:00:00,0.35551892
2011-06-07 19:00:00,0.1510946199999999
2011-06-07 20:00:00,0.0
2011-06-07 21:00:00,0.0
2011-06-07 22:00:00,0.0
2011-06-07 23:00:00,0.0
2011-06-08 00:00:00,0.0
2011-06-08 01:00:00,0.0
2011-06-08 02:00:00,0.0
2011-06-08 03:00:00,0.0
2011-06-08 04:00:00,0.0
2011-06-08 05:00:00,0.0288035629999999
2011-06-08 06:00:00,0.091110676
2011-06-08 07:00:00,0.20928291
2011-06-08 08:00:00,0.4801679
2011-06-08 09:00:00,0.72483445
2011-06-08 10:00:00,1.4271030999999998
2011-06-08 11:00:00,2.6303814
2011-06-08 12:00:00,4.062031
2011-06-08 13:00:00,3.7570584
2011-06-08 14:00:00,3.3754664
2011-06-08 15:00:00,2.8154412
2011-06-08 16:00:00,2.0545763
2011-06-08 17:00:00,1.2221895
2011-06-08 18:00:00,0.4327465
2011-06-08 19:00:00,0.112190486
2011-06-08 20:00:00,0.0
2011-06-08 21:00:00,0.0
2011-06-08 22:00:00,0.0
2011-06-08 23:00:00,0.0
2011-06-09 00:00:00,0.0
2011-06-09 01:00:00,0.0
2011-06-09 02:00:00,0.0
2011-06-09 03:00:00,0.0
2011-06-09 04:00:00,1.5593694000000004e-18
2011-06-09 05:00:00,0.15232874
2011-06-09 06:00:00,0.72954193
2011-06-09 07:00:00,1.5609119
2011-06-09 08:00:00,2.1777148
2011-06-09 09:00:00,2.822324
2011-06-09 10:00:00,3.2086247
2011-06-09 11:00:00,3.2453053
2011-06-09 12:00:00,3.101658
2011-06-09 13:00:00,2.706073
2011-06-09 14:00:00,2.798241
2011-06-09 15:00:00,1.9807434
2011-06-09 16:00:00,1.074266
2011-06-09 17:00:00,0.77069283
2011-06-09 18:00:00,0.2376295
2011-06-09 19:00:00,0.121230514
2011-06-09 20:00:00,0.0
2011-06-09 21:00:00,0.0
2011-06-09 22:00:00,0.0
2011-06-09 23:00:00,0.0
2011-06-10 00:00:00,0.0
2011-06-10 01:00:00,0.0
2011-06-10 02:00:00,0.0
2011-06-10 03:00:00,0.0
2011-06-10 04:00:00,3.843328299999999e-18
2011-06-10 05:00:00,0.14394565
2011-06-10 06:00:00,0.6062157
2011-06-10 07:00:00,1.3971006
2011-06-10 08:00:00,2.4038183
2011-06-10 09:00:00,2.8291948
2011-06-10 10:00:00,3.5516869
2011-06-10 11:00:00,3.2130491
2011-06-10 12:00:00,3.3189463
2011-06-10 13:00:00,3.302195
2011-06-10 14:00:00,2.9631716
2011-06-10 15:00:00,2.9051905
2011-06-10 16:00:00,2.0182575
2011-06-10 17:00:00,0.95616357
2011-06-10 18:00:00,0.27196028
2011-06-10 19:00:00,0.1438294899999999
2011-06-10 20:00:00,0.0
2011-06-10 21:00:00,0.0
2011-06-10 22:00:00,0.0
2011-06-10 23:00:00,0.0
2011-06-11 00:00:00,0.0
2011-06-11 01:00:00,0.0
2011-06-11 02:00:00,0.0
2011-06-11 03:00:00,0.0
2011-06-11 04:00:00,0.0011082504
2011-06-11 05:00:00,0.15487046
2011-06-11 06:00:00,0.7625645999999999
2011-06-11 07:00:00,1.6952193
2011-06-11 08:00:00,2.6332983000000003
2011-06-11 09:00:00,3.3443763
2011-06-11 10:00:00,4.0802546
2011-06-11 11:00:00,4.336659
2011-06-11 12:00:00,4.1638017
2011-06-11 13:00:00,3.9166645
2011-06-11 14:00:00,3.425105
2011-06-11 15:00:00,2.6822085
2011-06-11 16:00:00,1.6774678
2011-06-11 17:00:00,0.9699714
2011-06-11 18:00:00,0.2458353
2011-06-11 19:00:00,0.15529593
2011-06-11 20:00:00,0.0
2011-06-11 21:00:00,0.0
2011-06-11 22:00:00,0.0
2011-06-11 23:00:00,0.0
2011-06-12 00:00:00,0.0
