Time,load,pv,schedule,price
2016-01-01 00:00:00,0.0542322728238491,0.0,-0.0542322728238491,1.0
2016-01-01 00:15:00,0.0330300056432543,0.0,-0.0330300056432543,1.0
2016-01-01 00:30:00,0.014286298671569102,0.0,-0.014286298671569102,1.0
2016-01-01 00:45:00,0.014146779237311101,0.0,-0.014146779237311101,1.0
2016-01-01 01:00:00,0.014247874757757401,0.0,-0.014247874757757401,0.9473166896009435
2016-01-01 01:15:00,0.0142467892610824,0.0,-0.0142467892610824,0.9473166896009435
2016-01-01 01:30:00,0.0258862073719723,0.0,-0.0258862073719723,0.9473166896009435
2016-01-01 01:45:00,0.0275837814486352,0.0,-0.0275837814486352,0.9473166896009435
2016-01-01 02:00:00,0.0143721215284459,0.0,-0.0143721215284459,0.8783172793394928
2016-01-01 02:15:00,0.0142922358318904,0.0,-0.0142922358318904,0.8783172793394928
2016-01-01 02:30:00,0.0309747101252188,0.0,-0.0309747101252188,0.8783172793394928
2016-01-01 02:45:00,0.0174783232826058,0.0,-0.0174783232826058,0.8783172793394928
