Time,load,pv,schedule,price
2016-01-01 00:00:00,0.0225599111867358,0.0,-0.0225599111867358,1.0
2016-01-01 00:15:00,0.0355993651726686,0.0,-0.0355993651726686,1.0
2016-01-01 00:30:00,0.0539677660975601,0.0,-0.0539677660975601,1.0
2016-01-01 00:45:00,0.0462942898675096,0.0,-0.0462942898675096,1.0
2016-01-01 01:00:00,0.0454496623601447,0.0,-0.0454496623601447,0.9473166896009435
2016-01-01 01:15:00,0.028444654160067,0.0,-0.028444654160067,0.9473166896009435
2016-01-01 01:30:00,0.031123772208718297,0.0,-0.031123772208718297,0.9473166896009435
2016-01-01 01:45:00,0.0217332262245587,0.0,-0.0217332262245587,0.9473166896009435
2016-01-01 02:00:00,0.0215767208874533,0.0,-0.0215767208874533,0.8783172793394928
2016-01-01 02:15:00,0.0215853033545865,0.0,-0.0215853033545865,0.8783172793394928
2016-01-01 02:30:00,0.029487341623724305,0.0,-0.029487341623724305,0.8783172793394928
2016-01-01 02:45:00,0.0242018102019965,0.0,-0.0242018102019965,0.8783172793394928
