time,bid_id,ask_id,bid_actor,ask_actor,bid_cluster,ask_cluster,energy,price,included_grid_fee
1.0,8,0,H8,H0,0,0,0.5900000000000003,0.2574310222842482,0
1.0,11,0,market_maker,H0,,0,1.2899999999999996,0.2574310222842482,0
1.0,11,1,market_maker,H1,,0,4.54,0.2574310222842482,0
1.0,11,2,market_maker,H2,,0,1.9100000000000001,0.2574310222842482,0
1.0,11,3,market_maker,H3,,0,3.1,0.2574310222842482,0
1.0,11,4,market_maker,H4,,0,3.73,0.2574310222842482,0
1.0,11,5,market_maker,H5,,0,0.25,0.2574310222842482,0
1.0,11,6,market_maker,H6,,0,3.37,0.2574310222842482,0
1.0,11,7,market_maker,H7,,0,3.87,0.2574310222842482,0
1.0,11,9,market_maker,H9,,0,3.48,0.2574310222842482,0
2.0,0,10,H0,market_maker,0,,0.34,0.28760140776535137,0
2.0,1,10,H1,market_maker,0,,0.54,0.28760140776535137,0
2.0,2,10,H2,market_maker,0,,0.33,0.28760140776535137,0
2.0,3,10,H3,market_maker,0,,0.09,0.28760140776535137,0
2.0,4,10,H4,market_maker,0,,0.09,0.28760140776535137,0
2.0,5,10,H5,market_maker,0,,0.22,0.28760140776535137,0
2.0,6,10,H6,market_maker,0,,0.07,0.28760140776535137,0
2.0,7,10,H7,market_maker,0,,0.6900000000000001,0.28760140776535137,0
2.0,8,10,H8,market_maker,0,,0.84,0.28760140776535137,0
2.0,9,10,H9,market_maker,0,,0.54,0.28760140776535137,0
3.0,0,10,H0,market_maker,0,,0.39,0.20814380066152757,0
3.0,1,10,H1,market_maker,0,,0.9,0.20814380066152757,0
3.0,2,10,H2,market_maker,0,,0.16,0.20814380066152757,0
3.0,3,10,H3,market_maker,0,,0.03,0.20814380066152757,0
3.0,4,10,H4,market_maker,0,,0.09,0.20814380066152757,0
3.0,5,10,H5,market_maker,0,,0.46,0.20814380066152757,0
3.0,6,10,H6,market_maker,0,,0.8200000000000001,0.20814380066152757,0
3.0,7,10,H7,market_maker,0,,0.55,0.20814380066152757,0
3.0,8,10,H8,market_maker,0,,0.25,0.20814380066152757,0
3.0,9,10,H9,market_maker,0,,0.16,0.20814380066152757,0
