time,bid_id,ask_id,bid_actor,ask_actor,bid_cluster,ask_cluster,energy,price,included_grid_fee
7.0,2,3,H3,H4,0,1,0.19000000000000003,0.102565037155375,0.1
8.0,1,2,H1,H2,1,0,0.11999999999999998,0.1845287370914457,0.1
8.0,1,0,H1,H0,1,0,0.2800000000000001,0.1845287370914457,0.1
9.0,1,4,H1,H4,1,1,0.13999999999999999,0.0363878309877054,0
10.0,1,0,H1,H0,1,0,0.2700000000000001,0.11277953249653391,0.1
10.0,1,2,H1,H2,1,0,0.09,0.11277953249653391,0.1
10.0,4,2,H4,H2,1,0,0.23000000000000007,0.11277953249653391,0.1
11.0,0,2,H0,H2,0,0,0.08,0.0508763028183057,0
11.0,3,2,H3,H2,0,0,0.01,0.0508763028183057,0
12.0,4,0,H4,H0,1,0,0.4400000000000002,0.1054945061006582,0.1
