time,bid_id,ask_id,bid_actor,ask_actor,bid_cluster,ask_cluster,energy,price,included_grid_fee,market_name
2016-01-01 00:15:00,0,1,residential_1,market_maker_1,0,,0.04,0.14087,0.09,market_1
2016-01-01 00:15:00,0,1,residential_2,market_maker_2,1,,0.03,0.14,0.09,market_2
2016-01-01 00:30:00,0,1,residential_1,market_maker_1,0,,0.04,0.14087,0.09,market_1
2016-01-01 00:30:00,0,1,residential_2,market_maker_2,1,,0.01,0.14,0.09,market_2
2016-01-01 00:45:00,0,1,residential_1,market_maker_1,0,,0.04,0.14087,0.09,market_1
2016-01-01 00:45:00,0,1,residential_2,market_maker_2,1,,0.02,0.14,0.09,market_2
2016-01-01 01:00:00,0,1,residential_1,market_maker_1,0,,0.04,0.13819,0.09,market_1
2016-01-01 01:00:00,0,1,residential_2,market_maker_2,1,,0.01,0.14,0.09,market_2
2016-01-01 01:15:00,0,1,residential_1,market_maker_1,0,,0.04,0.13819,0.09,market_1
2016-01-01 01:15:00,0,1,residential_2,market_maker_2,1,,0.01,0.14,0.09,market_2
2016-01-01 01:30:00,0,1,residential_1,market_maker_1,0,,0.01,0.13819,0.09,market_1
2016-01-01 01:30:00,0,1,residential_2,market_maker_2,1,,0.03,0.14,0.09,market_2
2016-01-01 01:45:00,0,1,residential_1,market_maker_1,0,,0.01,0.13819,0.09,market_1
2016-01-01 01:45:00,0,1,residential_2,market_maker_2,1,,0.03,0.14,0.09,market_2
2016-01-01 02:00:00,0,1,residential_1,market_maker_1,0,,0.03,0.13468,0.09,market_1
2016-01-01 02:00:00,0,1,residential_2,market_maker_2,1,,0.01,0.14,0.09,market_2
2016-01-01 02:15:00,0,1,residential_1,market_maker_1,0,,0.01,0.13468,0.09,market_1
2016-01-01 02:15:00,0,1,residential_2,market_maker_2,1,,0.02,0.14,0.09,market_2
2016-01-01 02:30:00,0,1,residential_1,market_maker_1,0,,0.01,0.13468,0.09,market_1
2016-01-01 02:30:00,0,1,residential_2,market_maker_2,1,,0.03,0.14,0.09,market_2
2016-01-01 02:45:00,0,1,residential_1,market_maker_1,0,,0.02,0.13468,0.09,market_1
2016-01-01 02:45:00,0,1,residential_2,market_maker_2,1,,0.02,0.19,0.09,market_2
2016-01-01 03:00:00,0,1,residential_1,market_maker_1,0,,0.01,0.13292,0.09,market_1
2016-01-01 03:00:00,0,1,residential_2,market_maker_2,1,,0.01,0.19,0.09,market_2
2016-01-01 03:15:00,0,1,residential_1,market_maker_1,0,,0.01,0.13292,0.09,market_1
2016-01-01 03:15:00,0,1,residential_2,market_maker_2,1,,0.01,0.19,0.09,market_2
2016-01-01 03:30:00,0,1,residential_1,market_maker_1,0,,0.01,0.13292,0.09,market_1
2016-01-01 03:30:00,0,1,residential_2,market_maker_2,1,,0.02,0.19,0.09,market_2
